Comment,Toxic,Severe Toxic,Obscene,Threat,Insult,Identity Hate
Comments,3.54,0.11,0.94,0.12,1.3,0.32
They knew that they were killing the man. They knew they were being filmed. WTF was going on in their minds??,3.84,0.01,0.43,0.0,0.58,0.02
"Why was body cam footage not released till now.. It paints a different picture entirely. He collapses multiple times, His breathing claims start while stood in the open, refused and resisted getting out of his car, getting into the cop car, was high off his box on Fent, even the passengers in his car tell him to stop resisting and do as they say.",1.19,0.02,0.26,0.01,0.39,0.06
They can’t do that man if I was them I would bloody take him to the police station like other officers like WTF are they doing,5.62,0.32,1.7,0.32,2.26,0.72
Why wont they show the officers nody cam?. Yes it was on,0.97,0.01,0.19,0.01,0.3,0.04
I came back. I still can’t breathe as it turns out.,8.59,0.33,2.22,0.31,2.74,0.72
Wonder how many people have died like this before cameras were everywhere,1.36,0.02,0.28,0.02,0.43,0.07
the fact that they ignored him when he said he couldn’t breathe is just heartbreaking 😥,3.3,0.11,0.87,0.11,1.23,0.31
You can see the REAL footage now  hurry before it is taken down.,3.46,0.11,0.93,0.12,1.27,0.3
"Please man I can't breathe...
really heart-breaking.😭😭",2.28,0.05,0.52,0.05,0.75,0.15
"Don’t get me wrong, I don’t support BLM but I don’t support racism, yes George didn’t deserve to die like that, but he was a terrible person.",3.72,0.03,0.67,0.02,0.72,0.07
The fact that u can hear him saying he can't breathe is just unacceptable,2.16,0.05,0.55,0.05,0.79,0.17
"How could they do it 

When he is begging for life",1.82,0.03,0.41,0.03,0.61,0.11
"Theres no reason that you ""accidently"" kneel on someones throat for 7 minutes",33.29,2.07,9.99,1.56,10.79,3.15
How would the cop feel if someone kneeled on his neck for 8. Minutes,1.29,0.02,0.27,0.02,0.41,0.06
This cop shouldn’t have done that because all they had to do was put him in the car instead of throwing him on the ground and taking his breath,2.02,0.04,0.47,0.04,0.68,0.13
"If we didn’t have technology, the story would have been twisted to protect the police officers",0.31,0.0,0.05,0.0,0.08,0.01
What did He ever do since the murders killed him. Shame on Them!,6.52,0.33,1.89,0.34,2.45,0.77
Why didn’t anyone push the police man of 💔💔💔😭,2.66,0.07,0.67,0.07,0.95,0.22
They skipped the part when they lifted George off the ground after the knee was let up. The limp body. This isn't the FULL video.,1.07,0.01,0.21,0.01,0.32,0.04
What is everyones thoughts now that police body cam is public  ? Mine changed somewhat ..,0.78,0.01,0.14,0.01,0.23,0.03
This is scarier then any horror movie I have ever watched.,2.55,0.06,0.6,0.06,0.85,0.17
"these arent ""heros"" these are killiers he said he can't breath WHY WTF",2.45,0.06,0.59,0.06,0.85,0.18
Why was so many cops involved just over a fake $20 bill?,3.38,0.09,0.81,0.08,1.1,0.24
LIARS YALL WATCH THE GLOVES THEY CUT THIS TO HIDE. “MY PARTNERS AND THEM”,2.17,0.05,0.52,0.05,0.74,0.15
This didn’t age well.,5.76,0.31,1.74,0.32,2.27,0.71
"They called for medic, but his knee stays on the man’s neck.",2.31,0.05,0.56,0.05,0.81,0.17
He's pressing hard on his neck at 4:51 💔💔 The cop a monster he needs to live an suffer an get tortured that was mean,6.55,0.43,2.1,0.43,2.66,0.92
“Get up” this boils my blood so much your knee is literally crushing his neck how is he meant to get up,2.73,0.07,0.7,0.07,0.96,0.22
"""The Washington Post reconstructed some of the events...""  All I needed to hear.",1.72,0.03,0.39,0.03,0.59,0.11
"What polices are for:
To save our life
NOT END OUR LIFE",2.25,0.05,0.56,0.05,0.8,0.17
This is a cowardly act of killing a restrained man.,3.45,0.11,0.87,0.11,1.21,0.28
A human says mama only when he/she knows that something's going to happen......,3.65,0.14,1.03,0.14,1.43,0.4
This is just sad. I cried when I heard him say “I can’t breathe”,5.91,0.27,1.64,0.28,2.05,0.58
"Well the leaked body cam video is out, I bet you all that were eating this bs up feel a little stupid now.",81.32,0.58,33.47,0.21,23.27,0.97
"When he fell twice was he resisting, or having a medical emergency?",7.0,0.48,2.28,0.5,2.93,1.04
They called for an ambulance and kept his neck pinned. 3rd degree? Right,2.24,0.06,0.56,0.05,0.81,0.18
"If he gotten in the car this would've never happened, y'all started riots for a former felon, that robbed a innocent woman's house scouting for drugs and money, and you guys are going to preach his name for justice? smh, he and all these protesters brought this on themselves.",1.06,0.01,0.21,0.01,0.32,0.04
Bruh u know there's a problem when the Cop wouldn't move for the EMT.,2.31,0.05,0.58,0.05,0.82,0.16
The fact that people are just standing there and filming is unacceptable,4.29,0.2,1.28,0.2,1.75,0.5
what a disgrace. we need police. but this wasnt policing. that was muder.,2.28,0.06,0.56,0.05,0.81,0.16
"The craziest thing about this is that they kept doing it even though bystanders were filming
It doesn't make any sense.",0.61,0.0,0.11,0.0,0.18,0.02
So your telling me just because he’s black mean we’re not the same. We hame the same blood and sceletens like  this is so sad they shouldn’t have been released  there messed up sorry but there dome period,0.26,0.0,0.04,0.0,0.06,0.0
I was so sad when he asked for mercy,4.59,0.21,1.35,0.22,1.82,0.5
6:53 walking like an ostrich,15.94,1.38,5.1,1.33,6.23,2.4
1:07 wait a minute! 7:50 pm??? It's 100% day on there!!,81.21,2.96,40.69,1.71,29.83,4.67
"“Please man I can’t breathe”

That traumatised me",4.44,0.18,1.25,0.19,1.68,0.47
He was arrested for $20 forge check. So apparently and a black mans live is less then $20. Thats just messed up.,2.13,0.04,0.48,0.04,0.72,0.13
